"filename", "language", "Makefile", "Markdown", "Java", "comment", "blank", "total"
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/Main.java", "Java", 0, 0, 55, 0, 8, 63
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/README.md", "Markdown", 0, 30, 0, 0, 10, 40
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/componentes/Elemento.java", "Java", 0, 0, 10, 0, 2, 12
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/componentes/Estadisticas.java", "Java", 0, 0, 35, 14, 7, 56
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/componentes/Materia.java", "Java", 0, 0, 11, 5, 4, 20
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/componentes/Mejora.java", "Java", 0, 0, 39, 12, 6, 57
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/componentes/TipoStat.java", "Java", 0, 0, 6, 0, 2, 8
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/componentes/Vulnerable.java", "Java", 0, 0, 4, 5, 2, 11
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/entidades/Enemigo.java", "Java", 0, 0, 37, 22, 8, 67
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/entidades/EnemigoSalvaje.java", "Java", 0, 0, 40, 36, 13, 89
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/entidades/EnemigoSimulador.java", "Java", 0, 0, 26, 13, 6, 45
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/entidades/Jugador.java", "Java", 0, 0, 259, 97, 45, 401
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/entidades/Sephiroth.java", "Java", 0, 0, 129, 23, 34, 186
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/makefile", "Makefile", 19, 0, 0, 0, 3, 22
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/mapa/Gongaga.java", "Java", 0, 0, 108, 22, 20, 150
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/mapa/NucleoPlaneta.java", "Java", 0, 0, 54, 12, 9, 75
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/mapa/Sector7.java", "Java", 0, 0, 102, 27, 17, 146
"/home/na/Github/Tareas_lapixula_2026-1/T3_jeb/mapa/Zona.java", "Java", 0, 0, 195, 26, 35, 256
"Total", "-", 19, 30, 1110, 314, 231, 1704
